,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
3814,blanc,0.0,0.0,1.85,0.09
3815,asko,0.0,0.0,1.85,0.09
3816,aviv,0.0,0.0,1.85,0.09
3817,ayaan <3,0.0,0.0,1.85,0.09
3818,azura,0.0,0.0,1.85,0.09
3819,batswave,0.0,0.0,1.85,0.09
3820,beachdog,0.0,0.0,1.85,0.09
3821,bebo but dead ≡ƒö½,0.0,0.0,1.85,0.09
3822,betobomdebico,0.0,0.0,1.85,0.09
3823,bf,0.0,0.0,1.85,0.09
3824,big cheese,0.0,0.0,1.85,0.09
3825,big papa danny,0.0,0.0,1.85,0.09
3826,crob,0.0,0.0,1.85,0.09
3827,cute sauce,0.0,0.0,1.85,0.09
3828,hvz,0.0,0.0,1.85,0.09
3829,cutiepie,0.0,0.0,1.85,0.09
3830,flimflamsally69,0.0,0.0,1.85,0.09
3831,foooooood,0.0,0.0,1.85,0.09
3832,fortnite battle pass,0.0,0.0,1.85,0.09
3833,freezy,0.0,0.0,1.85,0.09
3834,fresh,0.0,0.0,1.85,0.09
3835,froggylady,0.0,0.0,1.85,0.09
3836,gROGfLOYD,0.0,0.0,1.85,0.09
3837,georfe,0.0,0.0,1.85,0.09
3838,gerson,0.0,0.0,1.85,0.09
3839,ghost jit,0.0,0.0,1.85,0.09
3840,ghostg3rl,0.0,0.0,1.85,0.09
3841,glop,0.0,0.0,1.85,0.09
3842,goku.solos,0.0,0.0,1.85,0.09
3843,gov.nay,0.0,0.0,1.85,0.09
3844,h.arve.y,0.0,0.0,1.85,0.09
3845,heart's,0.0,0.0,1.85,0.09
3846,helenn.t,0.0,0.0,1.85,0.09
3847,henri,0.0,0.0,1.85,0.09
3848,hex,0.0,0.0,1.85,0.09
3849,hitomix,0.0,0.0,1.85,0.09
3850,hk,0.0,0.0,1.85,0.09
3851,homy,0.0,0.0,1.85,0.09
3852,huntrs,0.0,0.0,1.85,0.09
3853,hurriya,0.0,0.0,1.85,0.09
3854,hvrold,0.0,0.0,1.85,0.09
3855,firetiger1021,0.0,0.0,1.85,0.09
3856,filet mignon,0.0,0.0,1.85,0.09
3857,fiend,0.0,0.0,1.85,0.09
3858,dragonslayer,0.0,0.0,1.85,0.09
3859,cyy,0.0,0.0,1.85,0.09
3860,dabliuZ,0.0,0.0,1.85,0.09
3861,daddy dremesbtw ΓÖí,0.0,0.0,1.85,0.09
3862,daniey,0.0,0.0,1.85,0.09
3863,darki,0.0,0.0,1.85,0.09
3864,darkorb,0.0,0.0,1.85,0.09
3865,derisive,0.0,0.0,1.85,0.09
3866,desiMC,0.0,0.0,1.85,0.09
3867,din far 123,0.0,0.0,1.85,0.09
3868,dion,0.0,0.0,1.85,0.09
3869,doctor neme,0.0,0.0,1.85,0.09
3870,drowningmonsters,0.0,0.0,1.85,0.09
3871,fho,0.0,0.0,1.85,0.09
3872,dudixx ifood,0.0,0.0,1.85,0.09
3873,dxnnie,0.0,0.0,1.85,0.09
3874,dylann,0.0,0.0,1.85,0.09
3875,elaizaa,0.0,0.0,1.85,0.09
3876,elio2008rizk,0.0,0.0,1.85,0.09
3877,eliza,0.0,0.0,1.85,0.09
3878,emaline harris,0.0,0.0,1.85,0.09
3879,ennnananannananaaa,0.0,0.0,1.85,0.09
3880,exqrt4,0.0,0.0,1.85,0.09
3881,fast but not furious,0.0,0.0,1.85,0.09
3882,father,0.0,0.0,1.85,0.09
3883,peachy,0.0,0.0,1.85,0.09
3884,phantxm,0.0,0.0,1.85,0.09
3885,pheeb,0.0,0.0,1.85,0.09
3886,πé╜πâòπéúπéó,0.0,0.0,1.85,0.09
3887,ΓÖíSunny/Ghost/OctavioΓÖí,0.0,0.0,1.85,0.09
3888,ΓÖíYameii AnacoΓÖí,0.0,0.0,1.85,0.09
3889,ΓÖí≡¥û¢≡¥ûè≡¥ûæ≡¥û¢≡¥ûè≡¥ûÖΓÖí,0.0,0.0,1.85,0.09
3890,ΓÖó Wrady Γùê,0.0,0.0,1.85,0.09
3891,Γä│≡¥ÿ░Ω¬ÇΩ¬û,0.0,0.0,1.85,0.09
3892,Γé¡ΓéúΓé╡ YΓé│┬º┬º├Ü├ÿ,0.0,0.0,1.85,0.09
3893,Γéè≡¥Æù≡¥Æå≡¥ÆÅ╦Ü,0.0,0.0,1.85,0.09
3894,Γìú ' Nakasakhi Saltanat ?,0.0,0.0,1.85,0.09
3895,Γöè╦Ü ΓÖí ΓöèMistyΓöè╦Ü ΓÖí Γöè,0.0,0.0,1.85,0.09
3896,Γÿ¿ Mind,0.0,0.0,1.85,0.09
3897,Γÿà∩╣Éestrella !,0.0,0.0,1.85,0.09
3898,ΓÿåKaiΓÿå,0.0,0.0,1.85,0.09
3899,ΓÿüMeenaΓÿü,0.0,0.0,1.85,0.09
3900,Γ│åp,0.0,0.0,1.85,0.09
3901,Ωºü≡¥æà≡¥æÆ≡¥ææ≡¥æÆ≡¥æª≡¥æÆΩºé,0.0,0.0,1.85,0.09
3902,α╕çα╣êα╕▓πâ╗ ß┤Ñ πâ╗,0.0,0.0,1.85,0.09
3903,α╝åα╝Ü Γ£º ┬í Mortal ! Γ£⌐α╝ä,0.0,0.0,1.85,0.09
3904,α░îΓÇó≡¥æà≡¥É╕≡¥æà≡¥É╕ΓÇóα░î,0.0,0.0,1.85,0.09
3905,πÇÄ$B╠╢r╠╢i╠╢t╠╢t╠╢o╠╢ ┬▓┬│πÇÅ,0.0,0.0,1.85,0.09
3906,πÇÄKABπÇÅ SAIF,0.0,0.0,1.85,0.09
3907,πÇÉ∩╝¼∩╜ò∩╜Ä∩╜üπÇæ,0.0,0.0,1.85,0.09
3908,πÇÉ∩╝Ñ∩╜î∩╜ë∩╜è∩╜ü∩╜êπÇæ,0.0,0.0,1.85,0.09
3909,πâ¥πâ╝πâêπé¼πé╣πâ╗πâçπéñπé╣,0.0,0.0,1.85,0.09
3910,πâÉπé½,0.0,0.0,1.85,0.09
3911,πâ┤πéíπâïπé┐πé╣,0.0,0.0,1.85,0.09
3912,ΓÖí Morana,0.0,0.0,1.85,0.09
3913,ΓÖÑ camii ΓÖÑ,0.0,0.0,1.85,0.09
3914,ΓÇÿMazyed Γü╣ ≡ôì╝α╜╝,0.0,0.0,1.85,0.09
3915,zonnor,0.0,0.0,1.85,0.09
3916,yosef,0.0,0.0,1.85,0.09
3917,yumi.,0.0,0.0,1.85,0.09
3918,yure,0.0,0.0,1.85,0.09
3919,yvngxloaded,0.0,0.0,1.85,0.09
3920,ywn,0.0,0.0,1.85,0.09
3921,zare,0.0,0.0,1.85,0.09
3922,zec├úopagoa├ºai,0.0,0.0,1.85,0.09
3923,zeelikethat,0.0,0.0,1.85,0.09
3924,zgclan,0.0,0.0,1.85,0.09
3925,zhongli,0.0,0.0,1.85,0.09
3926,zoinks,0.0,0.0,1.85,0.09
3927,zoomboi24,0.0,0.0,1.85,0.09
3928,ΓÇóJaxΓÇó,0.0,0.0,1.85,0.09
3929,zyion,0.0,0.0,1.85,0.09
3930,||╩Ü─¡╔₧ lex||,0.0,0.0,1.85,0.09
3931,µ£¢µ£êπééπüíπüÑπüì≡ƒìÇ,0.0,0.0,1.85,0.09
3932,ßÖÄßÑ▓ßÑÆtßÑ▒ßæ»,0.0,0.0,1.85,0.09
3933,ß┤╛ß┤┐ Parsa,0.0,0.0,1.85,0.09
3934,Γ¡æ!,0.0,0.0,1.85,0.09
3935,Γ£ª aur├⌐lou Γ£ª,0.0,0.0,1.85,0.09
3936,Γ£¿hannthagoatΓ£¿,0.0,0.0,1.85,0.09
3937,Γ£₧Xoviz,0.0,0.0,1.85,0.09
3938,ΓÄ¥ΓÄ¥Γ£ºMUTINEERΓ£ºΓÄáΓÄá,0.0,0.0,1.85,0.09
3939,ΓÆ╕ΓôÉΓôóΓôÆΓôÉΓôôΓôÉ,0.0,0.0,1.85,0.09
3940,πé¬πâ¬πâôπéóπâ╗πâÅπâÅ,0.0,0.0,1.85,0.09
3941,πé╡πé¡πâÑπâÉπé╣πéóπâ¼πââπé»πé╣,0.0,0.0,1.85,0.09
3942,pheebs,0.0,0.0,1.85,0.09
3943,πüéπéô909,0.0,0.0,1.85,0.09
3944,≡¥û¼≡¥ùê≡¥ùê≡¥ùç,0.0,0.0,1.85,0.09
3945,≡¥ûå≡¥ûÿ≡¥ûì,0.0,0.0,1.85,0.09
3946,≡¥ÿ«≡¥ÿó≡¥ÿ«≡¥ÿ¬╠Ç≡ƒÆ╕,0.0,0.0,1.85,0.09
3947,≡¥ÿú≡¥ÿ¡≡¥ÿ╢≡¥ÿª,0.0,0.0,1.85,0.09
3948,≡¥ÿ╛≡¥Öû≡¥Öº≡¥ÖÜ≡¥Öù≡¥ÖÜ≡¥Öû≡¥Öº,0.0,0.0,1.85,0.09
3949,≡ôå⌐uwJAM═£═íIKA≡ôå¬,0.0,0.0,1.85,0.09
3950,≡ƒÄ╢≡ƒûñMuzikos ┼╜iurk─ù≡ƒûñ≡ƒÄ╢,0.0,0.0,1.85,0.09
3951,≡ƒåâ≡ƒåü≡ƒà┤≡ƒåê,0.0,0.0,1.85,0.09
3952,≡ƒê»wojstr≡ƒÑí,0.0,0.0,1.85,0.09
3953,─Éß╗⌐cThß║»ng,0.0,0.0,1.85,0.09
3954,├ƒhims,0.0,0.0,1.85,0.09
3955,┬ó1|m╬▓!ng,0.0,0.0,1.85,0.09
3956,┬╗ miko!!,0.0,0.0,1.85,0.09
3957,┼╗elatynka,0.0,0.0,1.85,0.09
3958,═ÿSimple,0.0,0.0,1.85,0.09
3959,═ÿX,0.0,0.0,1.85,0.09
3960,╤à╨╗╨╡╨▒,0.0,0.0,1.85,0.09
3961,╦ÜΓïåAntoine,0.0,0.0,1.85,0.09
3962,╨¡╨╝╨╕,0.0,0.0,1.85,0.09
3963,╨»╨╜╨░ ╨í╨╛╨╗╤Å╤à,0.0,0.0,1.85,0.09
3964,╨æ╨É╤â╤â,0.0,0.0,1.85,0.09
3965,╨í╨╛╤à╨░╨╕╨▒,0.0,0.0,1.85,0.09
3966,╨ú╨┐╤ü╤ü,0.0,0.0,1.85,0.09
3967,╨║╨╛╨▒╨╗╤ü╤é,0.0,0.0,1.85,0.09
3968,╪ó╪│┘ü,0.0,0.0,1.85,0.09
3969,≡¥ùº≡¥ù╝≡¥ù│≡¥ÿé,0.0,0.0,1.85,0.09
3970,≡¥ö░≡¥ö₧≡¥öñ≡¥öó,0.0,0.0,1.85,0.09
3971,≡¥öè≡¥ö▓33≡¥ö░≡¥ö╢,0.0,0.0,1.85,0.09
3972,≡¥Éòlone,0.0,0.0,1.85,0.09
3973,σ╜í Iron!Fist,0.0,0.0,1.85,0.09
3974,σ╣╜Θ╗ÿ,0.0,0.0,1.85,0.09
3975,τ½áΘ▒╝σñºΣ╕╕σ¡ÉKK,0.0,0.0,1.85,0.09
3976,τá┤Φ▓ô,0.0,0.0,1.85,0.09
3977,φæ╕φàÉßâª,0.0,0.0,1.85,0.09
3978,∞åî ∞£á,0.0,0.0,1.85,0.09
3979,∩╝¼∩╜ò∩╜Ä∩╜üΓÿ╜,0.0,0.0,1.85,0.09
3980,≡¥Æ¢≡¥æ╕≡¥Æò_,0.0,0.0,1.85,0.09
3981,≡¥Æ«≡¥Æ╛≡¥Æ╕≡¥ôÇ≡¥æÆ≡¥ôü≡¥æÆ≡¥ôë,0.0,0.0,1.85,0.09
3982,≡¥Æ¬ / ≡¥Æ£≡¥ÿ»≡¥ÿÑ≡¥ÿª≡¥ÿ│≡¥ÿ┤,0.0,0.0,1.85,0.09
3983,≡¥ÉÇ≡¥É¼≡¥Éí.,0.0,0.0,1.85,0.09
3984,≡¥Öì≡¥Öû≡¥Ö«≡¥Ö«Γÿ║,0.0,0.0,1.85,0.09
3985,≡¥öç≡¥öó≡¥ö░≡¥öª≡¥ö»≡¥öó,0.0,0.0,1.85,0.09
3986,≡¥Ö│≡¥Üè≡¥Üù≡¥Üù≡¥Üó,0.0,0.0,1.85,0.09
3987,≡¥Üé≡¥Üö≡¥Üó≡¥ÜÄ,0.0,0.0,1.85,0.09
3988,≡¥æü≡¥æÄ≡¥æíΓäÄ≡¥æÆ≡¥æº,0.0,0.0,1.85,0.09
3989,≡¥æ┐≡¥Æè≡¥ÆÉ≡¥Æô≡¥ÆöΓÇÖ,0.0,0.0,1.85,0.09
3990,≡¥æ╖≡¥æ»≡¥Æ¢≡¥Æè≡¥ÆÅ,0.0,0.0,1.85,0.09
3991,≡¥òÄ≡¥ƒÖ≡¥òï≡¥òª≡¥òâ≡¥ƒÿ,0.0,0.0,1.85,0.09
3992,≡¥òï≡¥òÖ≡¥òû≡¥òá,0.0,0.0,1.85,0.09
3993,≡¥ò╖≡¥ûÜ≡¥ûô≡¥ûå≡¥ûù,0.0,0.0,1.85,0.09
3994,≡¥ôÖ≡¥ô«≡¥ô»≡¥ô»≡ƒÑÇ≡ƒûñ,0.0,0.0,1.85,0.09
3995,≡¥ôÖ≡¥ô╕≡¥ô╢≡¥ô╣≡¥ô╜,0.0,0.0,1.85,0.09
3996,≡¥öÅ≡¥ö₧Γä£≡¥ö▓≡¥öª≡¥ö╖,0.0,0.0,1.85,0.09
3997,yesnt,0.0,0.0,1.85,0.09
3998,yazhi,0.0,0.0,1.85,0.09
3999,yazen20,0.0,0.0,1.85,0.09
4000,yasha,0.0,0.0,1.85,0.09
4001,sacri,0.0,0.0,1.85,0.09
4002,sad_gothboi,0.0,0.0,1.85,0.09
4003,sadie robertson,0.0,0.0,1.85,0.09
4004,sage<3,0.0,0.0,1.85,0.09
4005,sakurachan,0.0,0.0,1.85,0.09
4006,sali<3,0.0,0.0,1.85,0.09
4007,sasquatch,0.0,0.0,1.85,0.09
4008,seijun,0.0,0.0,1.85,0.09
4009,send nudes,0.0,0.0,1.85,0.09
4010,senpai∩╛Ç,0.0,0.0,1.85,0.09
4011,senyx╪¬,0.0,0.0,1.85,0.09
4012,seo,0.0,0.0,1.85,0.09
4013,shadow569,0.0,0.0,1.85,0.09
4014,shadytrumpet,0.0,0.0,1.85,0.09
4015,shekha,0.0,0.0,1.85,0.09
4016,shiba,0.0,0.0,1.85,0.09
4017,sho,0.0,0.0,1.85,0.09
4018,shreder,0.0,0.0,1.85,0.09
4019,shynx111,0.0,0.0,1.85,0.09
4020,silverwolfzs,0.0,0.0,1.85,0.09
4021,simpy,0.0,0.0,1.85,0.09
4022,sinner,0.0,0.0,1.85,0.09
4023,sixt,0.0,0.0,1.85,0.09
4024,skydrkz,0.0,0.0,1.85,0.09
4025,slippezz,0.0,0.0,1.85,0.09
4026,s t a r a,0.0,0.0,1.85,0.09
4027,ryry,0.0,0.0,1.85,0.09
4028,rv3zs wife,0.0,0.0,1.85,0.09
4029,rara,0.0,0.0,1.85,0.09
4030,pisscris,0.0,0.0,1.85,0.09
4031,planetnala,0.0,0.0,1.85,0.09
4032,pow,0.0,0.0,1.85,0.09
4033,pp enlargement,0.0,0.0,1.85,0.09
4034,press,0.0,0.0,1.85,0.09
4035,psc,0.0,0.0,1.85,0.09
4036,qiqi,0.0,0.0,1.85,0.09
4037,qun1vskiy,0.0,0.0,1.85,0.09
4038,qxsat,0.0,0.0,1.85,0.09
4039,raccoon boy,0.0,0.0,1.85,0.09
4040,rainmaker,0.0,0.0,1.85,0.09
4041,ray!!,0.0,0.0,1.85,0.09
4042,riot,0.0,0.0,1.85,0.09
4043,rcbdxmj,0.0,0.0,1.85,0.09
4044,relps,0.0,0.0,1.85,0.09
4045,rem.,0.0,0.0,1.85,0.09
4046,ren├⌐,0.0,0.0,1.85,0.09
4047,repulsive,0.0,0.0,1.85,0.09
4048,rescepter,0.0,0.0,1.85,0.09
4049,resortful,0.0,0.0,1.85,0.09
4050,rewan,0.0,0.0,1.85,0.09
4051,re╨╝i,0.0,0.0,1.85,0.09
4052,rice,0.0,0.0,1.85,0.09
4053,rii,0.0,0.0,1.85,0.09
4054,sloow,0.0,0.0,1.85,0.09
4055,smol_child,0.0,0.0,1.85,0.09
4056,soph ≡ƒææ,0.0,0.0,1.85,0.09
4057,vvs,0.0,0.0,1.85,0.09
4058,urgothgamergf,0.0,0.0,1.85,0.09
4059,vaalhazak,0.0,0.0,1.85,0.09
4060,vace,0.0,0.0,1.85,0.09
4061,val<3,0.0,0.0,1.85,0.09
4062,valvalcy,0.0,0.0,1.85,0.09
4063,vaniboom,0.0,0.0,1.85,0.09
4064,veron,0.0,0.0,1.85,0.09
4065,violette_xx,0.0,0.0,1.85,0.09
4066,visary,0.0,0.0,1.85,0.09
4067,vivoree,0.0,0.0,1.85,0.09
4068,vonruntz,0.0,0.0,1.85,0.09
4069,vypart,0.0,0.0,1.85,0.09
4070,ttv yass4er ^_^,0.0,0.0,1.85,0.09
4071,w1ktoriaa,0.0,0.0,1.85,0.09
4072,wallo,0.0,0.0,1.85,0.09
4073,wesleymalls,0.0,0.0,1.85,0.09
4074,wholavv,0.0,0.0,1.85,0.09
4075,wiggy,0.0,0.0,1.85,0.09
4076,xanakin,0.0,0.0,1.85,0.09
4077,xanny,0.0,0.0,1.85,0.09
4078,xee,0.0,0.0,1.85,0.09
4079,xotic_panda,0.0,0.0,1.85,0.09
4080,xuc,0.0,0.0,1.85,0.09
4081,yanna~≡ƒÑò,0.0,0.0,1.85,0.09
4082,tyla,0.0,0.0,1.85,0.09
4083,toughas,0.0,0.0,1.85,0.09
4084,speice,0.0,0.0,1.85,0.09
4085,svtremcd7,0.0,0.0,1.85,0.09
4086,spiraldust,0.0,0.0,1.85,0.09
4087,spooky,0.0,0.0,1.85,0.09
4088,spray Γÿå,0.0,0.0,1.85,0.09
4089,star<3,0.0,0.0,1.85,0.09
4090,stark77,0.0,0.0,1.85,0.09
4091,steph <3,0.0,0.0,1.85,0.09
4092,stoner dani,0.0,0.0,1.85,0.09
4093,stoopid,0.0,0.0,1.85,0.09
4094,stray,0.0,0.0,1.85,0.09
4095,suck without money,0.0,0.0,1.85,0.09
4096,suii,0.0,0.0,1.85,0.09
4097,swamp.,0.0,0.0,1.85,0.09
4098,touchedbypickles,0.0,0.0,1.85,0.09
4099,synapse,0.0,0.0,1.85,0.09
4100,sypther,0.0,0.0,1.85,0.09
4101,syx,0.0,0.0,1.85,0.09
4102,szn,0.0,0.0,1.85,0.09
4103,tHe_LiGhTnInG_McQueen,0.0,0.0,1.85,0.09
4104,tamm,0.0,0.0,1.85,0.09
4105,tamo,0.0,0.0,1.85,0.09
4106,taryn,0.0,0.0,1.85,0.09
4107,temmika,0.0,0.0,1.85,0.09
4108,temp uwu,0.0,0.0,1.85,0.09
4109,thelocalskater,0.0,0.0,1.85,0.09
4110,alii,0.0,0.0,1.85,0.09
4111,! !≡¥æÇ≡¥æª≡¥æá≡¥æƒ≡¥æÄ! !,0.0,0.0,1.85,0.09
4112,alesomniaa,0.0,0.0,1.85,0.09
4113,R╬¢MYOURM╬¢N,0.0,0.0,1.85,0.09
4114,Sebas alias empanada,0.0,0.0,1.85,0.09
4115,Seeg├╝rkchen,0.0,0.0,1.85,0.09
4116,SegaΓäó Shark,0.0,0.0,1.85,0.09
4117,Meme Jam,0.0,0.0,1.85,0.09
4118,Ser,0.0,0.0,1.85,0.09
4119,Meiku,0.0,0.0,1.85,0.09
4120,ShadowClawZERO,0.0,0.0,1.85,0.09
4121,ShaheerS.18,0.0,0.0,1.85,0.09
4122,Shana ΓÖí,0.0,0.0,1.85,0.09
4123,Sherbeef,0.0,0.0,1.85,0.09
4124,Sherelli<3,0.0,0.0,1.85,0.09
4125,ShesMyIso,0.0,0.0,1.85,0.09
4126,McSmigglebee,0.0,0.0,1.85,0.09
4127,ShinerTerna,0.0,0.0,1.85,0.09
4128,Max~,0.0,0.0,1.85,0.09
4129,Shu,0.0,0.0,1.85,0.09
4130,Siiid,0.0,0.0,1.85,0.09
4131,SilkenRex,0.0,0.0,1.85,0.09
4132,Silwurr,0.0,0.0,1.85,0.09
4133,SawickM,0.0,0.0,1.85,0.09
4134,Satirelifez,0.0,0.0,1.85,0.09
4135,Meopham,0.0,0.0,1.85,0.09
4136,Sameretaiwi,0.0,0.0,1.85,0.09
4137,Mist╦ï zii,0.0,0.0,1.85,0.09
4138,SKLOLOπâä,0.0,0.0,1.85,0.09
4139,Miss Moo,0.0,0.0,1.85,0.09
4140,SPARXY,0.0,0.0,1.85,0.09
4141,SSMCKevin,0.0,0.0,1.85,0.09
4142,Sacha,0.0,0.0,1.85,0.09
4143,Misery,0.0,0.0,1.85,0.09
4144,Mirji,0.0,0.0,1.85,0.09
4145,Minci,0.0,0.0,1.85,0.09
4146,Satellited,0.0,0.0,1.85,0.09
4147,Mimimix,0.0,0.0,1.85,0.09
4148,Mikey &Draken,0.0,0.0,1.85,0.09
4149,MichiGun,0.0,0.0,1.85,0.09
4150,Mia<3,0.0,0.0,1.85,0.09
4151,Sarita,0.0,0.0,1.85,0.09
4152,Messi chiquito,0.0,0.0,1.85,0.09
4153,Sartenius,0.0,0.0,1.85,0.09
4154,Merlina,0.0,0.0,1.85,0.09
4155,SimonLeToopidΓäó,0.0,0.0,1.85,0.09
4156,Mat,0.0,0.0,1.85,0.09
4157,Master Oogway,0.0,0.0,1.85,0.09
4158,Sumiga,0.0,0.0,1.85,0.09
4159,StarΓïå,0.0,0.0,1.85,0.09
4160,Staszka,0.0,0.0,1.85,0.09
4161,StepMk,0.0,0.0,1.85,0.09
4162,MAGO DA AWM,0.0,0.0,1.85,0.09
4163,M7,0.0,0.0,1.85,0.09
4164,L╠┤═¥═Çi╠╕╠ô╠êf╠╡╠╛╠Ée╠╖═é╠╜,0.0,0.0,1.85,0.09
4165,Stylz,0.0,0.0,1.85,0.09
4166,SubashisUwU,0.0,0.0,1.85,0.09
4167,L├⌐o,0.0,0.0,1.85,0.09
4168,MATEO PAA,0.0,0.0,1.85,0.09
4169,Luska,0.0,0.0,1.85,0.09
4170,Supportxer,0.0,0.0,1.85,0.09
4171,Sweetened Polar,0.0,0.0,1.85,0.09
4172,SwegFy,0.0,0.0,1.85,0.09
4173,Luken,0.0,0.0,1.85,0.09
4174,Luke__Skywalker,0.0,0.0,1.85,0.09
4175,S├╕fu πâä,0.0,0.0,1.85,0.09
4176,TANQR,0.0,0.0,1.85,0.09
4177,Spzrzt,0.0,0.0,1.85,0.09
4178,Sotnas,0.0,0.0,1.85,0.09
4179,Sipsik,0.0,0.0,1.85,0.09
4180,Skelly with a gun,0.0,0.0,1.85,0.09
4181,Mas,0.0,0.0,1.85,0.09
4182,Siraq,0.0,0.0,1.85,0.09
4183,MarkusBD,0.0,0.0,1.85,0.09
4184,Sirl3sawy'RG,0.0,0.0,1.85,0.09
4185,Malekith,0.0,0.0,1.85,0.09
4186,Mako-_-lazers,0.0,0.0,1.85,0.09
4187,Majode xx,0.0,0.0,1.85,0.09
4188,Siv,0.0,0.0,1.85,0.09
4189,Madik_Izichi,0.0,0.0,1.85,0.09
4190,SophiaTheFirst,0.0,0.0,1.85,0.09
4191,Skyzius,0.0,0.0,1.85,0.09
4192,Madiii,0.0,0.0,1.85,0.09
4193,Slade,0.0,0.0,1.85,0.09
4194,Sloppy Slopster,0.0,0.0,1.85,0.09
4195,Madara.,0.0,0.0,1.85,0.09
4196,MT,0.0,0.0,1.85,0.09
4197,Sogga,0.0,0.0,1.85,0.09
4198,Solus,0.0,0.0,1.85,0.09
4199,SH6GY,0.0,0.0,1.85,0.09
4200,R├ª,0.0,0.0,1.85,0.09
4201,Lukasss,0.0,0.0,1.85,0.09
4202,Ryuzo,0.0,0.0,1.85,0.09
4203,Poppie<3,0.0,0.0,1.85,0.09
4204,Pren╬¢nt Siuuu,0.0,0.0,1.85,0.09
4205,Primz,0.0,0.0,1.85,0.09
4206,Prodiscius,0.0,0.0,1.85,0.09
4207,Pudge!!,0.0,0.0,1.85,0.09
4208,NoΓÇÖ,0.0,0.0,1.85,0.09
4209,Nov≡ƒà░ ≡ƒö₧,0.0,0.0,1.85,0.09
4210,Pyrobever,0.0,0.0,1.85,0.09
4211,PythonZz,0.0,0.0,1.85,0.09
4212,Noodle,0.0,0.0,1.85,0.09
4213,Qattan,0.0,0.0,1.85,0.09
4214,Nimbus,0.0,0.0,1.85,0.09
4215,QueenBee,0.0,0.0,1.85,0.09
4216,Queen_Avana,0.0,0.0,1.85,0.09
4217,Quint Esper,0.0,0.0,1.85,0.09
4218,Quit,0.0,0.0,1.85,0.09
4219,Quitmane,0.0,0.0,1.85,0.09
4220,R E X,0.0,0.0,1.85,0.09
4221,R.i.P,0.0,0.0,1.85,0.09
4222,Nyanderu,0.0,0.0,1.85,0.09
4223,N├«ck,0.0,0.0,1.85,0.09
4224,OBIOS,0.0,0.0,1.85,0.09
4225,Ph.AJ,0.0,0.0,1.85,0.09
4226,OpNoodle,0.0,0.0,1.85,0.09
4227,Olicia,0.0,0.0,1.85,0.09
4228,P1cklesz,0.0,0.0,1.85,0.09
4229,Official_N1zlyyy,0.0,0.0,1.85,0.09
4230,POINT,0.0,0.0,1.85,0.09
4231,Pai das lolli,0.0,0.0,1.85,0.09
4232,Patrick7207,0.0,0.0,1.85,0.09
4233,PeakyVictor,0.0,0.0,1.85,0.09
4234,Phantom-San,0.0,0.0,1.85,0.09
4235,Poisonivy,0.0,0.0,1.85,0.09
4236,Phoenix 2.0,0.0,0.0,1.85,0.09
4237,Odds N' Ends,0.0,0.0,1.85,0.09
4238,Ocufi,0.0,0.0,1.85,0.09
4239,OWN,0.0,0.0,1.85,0.09
4240,OREZ,0.0,0.0,1.85,0.09
4241,OK3L,0.0,0.0,1.85,0.09
4242,Piotrek,0.0,0.0,1.85,0.09
4243,PlzBeQuiet,0.0,0.0,1.85,0.09
4244,R3ality,0.0,0.0,1.85,0.09
4245,RB,0.0,0.0,1.85,0.09
4246,ROBIN ΓâÿΓâñΩÖ░,0.0,0.0,1.85,0.09
4247,Rosa<33,0.0,0.0,1.85,0.09
4248,Mydrach,0.0,0.0,1.85,0.09
4249,Mustangoaaa,0.0,0.0,1.85,0.09
4250,RickoKaboom,0.0,0.0,1.85,0.09
4251,MuiΓÇÖs cloud Γÿü,0.0,0.0,1.85,0.09
4252,Riri,0.0,0.0,1.85,0.09
4253,Rizu,0.0,0.0,1.85,0.09
4254,Muggy,0.0,0.0,1.85,0.09
4255,Mrs. Fat Cow,0.0,0.0,1.85,0.09
4256,Rosario,0.0,0.0,1.85,0.09
4257,NIKO,0.0,0.0,1.85,0.09
4258,Rose 052,0.0,0.0,1.85,0.09
4259,Mr. Rainbow,0.0,0.0,1.85,0.09
4260,Ruby123,0.0,0.0,1.85,0.09
4261,Mr. M,0.0,0.0,1.85,0.09
4262,Runa,0.0,0.0,1.85,0.09
4263,RunderKreis,0.0,0.0,1.85,0.09
4264,Ruse,0.0,0.0,1.85,0.09
4265,Mois├⌐s,0.0,0.0,1.85,0.09
4266,N4\!$,0.0,0.0,1.85,0.09
4267,Revive,0.0,0.0,1.85,0.09
4268,NickTrades,0.0,0.0,1.85,0.09
4269,Randowaffle,0.0,0.0,1.85,0.09
4270,Nerito,0.0,0.0,1.85,0.09
4271,RUKITO,0.0,0.0,1.85,0.09
4272,Rafaa,0.0,0.0,1.85,0.09
4273,Nephtys,0.0,0.0,1.85,0.09
4274,Rainou,0.0,0.0,1.85,0.09
4275,Nappix,0.0,0.0,1.85,0.09
4276,Napnut,0.0,0.0,1.85,0.09
4277,RalTis,0.0,0.0,1.85,0.09
4278,akashiro Γ£₧,0.0,0.0,1.85,0.09
4279,Regbare xfls.Privs,0.0,0.0,1.85,0.09
4280,Nans ≡ƒìî,0.0,0.0,1.85,0.09
4281,Rawkku,0.0,0.0,1.85,0.09
4282,NaisMan,0.0,0.0,1.85,0.09
4283,Raws,0.0,0.0,1.85,0.09
